Constituency,Political Party,Name,Votes
KWANIA COUNTY,NRM,AYOO TONNY,"14,981"
KWANIA COUNTY,INDEPENDENT,MAKMOT HENRY MILTON BONIMA,"6,195"
KWANIA COUNTY,INDEPENDENT,OGWAL EMMANUEL AGWENO,630
KWANIA COUNTY,FDC,OJOK ISAAC,536
KWANIA COUNTY,INDEPENDENT,ANOKBONGO WILLY WASHINGTON,"4,556"
KWANIA COUNTY,UPC,OGWAL GEOFFREY ALEX,"9,882"
MARUZI COUNTY,INDEPENDENT,OBURA GEORFFREY KODJO,"2,294"
MARUZI COUNTY,UFA,OMONGO NDUNGU,279
MARUZI COUNTY,NRM,AKAKI AYUMU JOVINO,"9,448"
MARUZI COUNTY,UPC,AKORA MAXWELL EBONG PATRICK,"24,598"
ARUA MUNICIPALITY,UPC,CEMARI NELSON,81
ARUA MUNICIPALITY,PPP,ASEGA HABIB,148
ARUA MUNICIPALITY,FDC,ATAKO A.F. AMINA,"1,216"
ARUA MUNICIPALITY,INDEPENDENT,AKBAR HUSSEIN GODI,0
ARUA MUNICIPALITY,DP,LEMERIGA FADHIL KUJO,51
ARUA MUNICIPALITY,NRM,AJEDRA GABRIEL GADISON ARIDRU,"8,106"
ARUA MUNICIPALITY,INDEPENDENT,BUGA MATATA YASIN,398
ARUA MUNICIPALITY,INDEPENDENT,ALEKUA JA'AFAR,"5,590"
ARUA MUNICIPALITY,INDEPENDENT,ADUTIA DOBAYO MALLON,96
AYIVU COUNTY,NRM,DRAVILLE BEN,"16,453"
AYIVU COUNTY,FDC,ATIKU BENARD,"18,496"
AYIVU COUNTY,UPC,ETUKIBO MOSES,"1,609"
AYIVU COUNTY,INDEPENDENT,ANGUFIRU MARGRET,"4,312"
MADI-OKOLLO COUNTY,INDEPENDENT,OGAMA ALLI ISMAIL,"4,495"
MADI-OKOLLO COUNTY,INDEPENDENT,EZALE ABUBAKER,373
MADI-OKOLLO COUNTY,NRM,DRITO MARTIN ANDI,"12,657"
MADI-OKOLLO COUNTY,FDC,ARUMADRI JOHN DRAZU,"6,858"
MADI-OKOLLO COUNTY,UPC,KAZA ADROA KELVIS,602
TEREGO COUNTY,INDEPENDENT,KAMURE PETER EDEMA,"2,009"
TEREGO COUNTY,UPC,ACEMAH HAROLD,513
TEREGO COUNTY,NRM,OBIGA MARIO KANIA,"20,507"
TEREGO COUNTY,FDC,WADRI KASSIANO EZATI,"23,863"
VURRA COUNTY,INDEPENDENT,OKUONZI SAM AGATRE,"14,522"
VURRA COUNTY,FDC,DRAMADRI LOUIS,"1,979"
VURRA COUNTY,DP,ALIMA SANTO,613
VURRA COUNTY,UPC,AGUPIO ANGOANDIA NICHOLAS SAMSON,472
BUGHENDERA COUNTY,FDC,SUNDAY APOLO,955
BUGHENDERA COUNTY,NRM,KIIZA ACROBERT MOSES,"9,591"
