Constituency,Name,Political Party,Category
KWANIA COUNTY,AYOO TONNY,NRM,Directly Elected MP
MARUZI COUNTY,AKORA MAXWELL EBONG,UPC,Directly Elected MP
,PATRICK,,
,AJOK LUCY,UPC,District Woman
,,,Representative
AYIVU COUNTY,ATIKU BENARD,FDC,Directly Elected MP
MADI-OKOLLO,DRITO MARTIN ANDI,NRM,Directly Elected MP
COUNTY,,,
TEREGO COUNTY,WADRI KASSIANO EZATI,FDC,Directly Elected MP
VURRA COUNTY,OKUONZI SAM AGATRE,Independent,Directly Elected MP
ARUA MUNICIPALITY,AJEDRA GABRIEL,NRM,Directly Elected MP
,GADISON ARIDRU,,
,BAKO CHRISTINE ABIA,FDC,District Woman
,,,Representative
BWAMBA COUNTY,KAMANDA COS,NRM,Directly Elected MP
,BATARINGAYA,,
BUGHENDERA,MATTE JOSEPH,Independent,Directly Elected MP
COUNTY,SIBALINGHANA,,
,KIREGHEYA,,
,NTABAZI HARRIET,NRM,District Woman
,,,Representative
IGARA COUNTY EAST,MAWANDA MICHAEL,NRM,Directly Elected MP
,MARANGA,,
IGARA COUNTY,MAGYEZI RAPHAEL,NRM,Directly Elected MP
WEST,,,
BUSHENYI -ISHAKA,BASAJJABALABA NASSER,NRM,Directly Elected MP
MUNICIPALITY,,,
,BUSINGYE MARY,NRM,District Woman
,KAROORO OKURUT,,Representative
ASWA COUNTY,OKUMU RONALD REAGAN,FDC,Directly Elected MP
OMORO COUNTY,OULANYAH JACOB,NRM,Directly Elected MP
,L'OKORI,,
GULU MUNICIPALITY,ACIRE CHRISTOPHER,FDC,Directly Elected MP
,AOL BETTY OCAN,FDC,District Woman
,,,Representative
,,,
BUGAHYA COUNTY,KIIZA RWEBEMBERA,NRM,Directly Elected MP
,JAMES,,
BUHAGUZI COUNTY,BIGIRWA JULIUS,NRM,Directly Elected MP
,JUNJURA,,
HOIMA MUNICIPALITY,KAJURA HENRY,NRM,Directly Elected MP
,MUGANWA,,
,KAAHWA TOPHACE,NRM,District Woman
,BYAGIRA,,Representative
BUGWERI COUNTY,KATUNTU ABDU,FDC,Directly Elected MP
KIGULU COUNTY,BALIDDAWA EDWARD,NRM,Directly Elected MP
NORTH,,,
KIGULU COUNTY,MUWUMA MILTON,NRM,Directly Elected MP
SOUTH,,,
IGANGA,MUGEMA PETER,NRM,Directly Elected MP
MUNICIPALITY,,,
,KABAALE KWAGALA,NRM,District Woman
,OLIVIA,,Representative
BUTEMBE COUNTY,DAUDI MIGEREKO,NRM,Directly Elected MP
KAGOMA COUNTY,MBAGADHI FREDERICK,NRM,Directly Elected MP
,NKAYI,,
JINJA MUNICIPALITY,IGEME NABETA NATHAN,NRM,Directly Elected MP
EAST,SAMSON,,
JINJA MUNICIPALITY,BALYEKU MOSES GRACE,NRM,Directly Elected MP
WEST,,,
,NABIRYE AGNES,NRM,District Woman
,,,Representative
NDORWA COUNTY,NIWAGABA WILFRED,NRM,Directly Elected MP
EAST,,,
NDORWA COUNTY,BAHATI DAVID,NRM,Directly Elected MP
WEST,,,
RUBANDA COUNTY,MUSASIZI HENRY,NRM,Directly Elected MP
EAST,ARIGANYIRA,,
RUBANDA COUNTY,BANYENZAKI HENRY,NRM,Directly Elected MP
WEST,,,
RUKIGA COUNTY,SABIITI JACK,FDC,Directly Elected MP
KABALE,BARYAYANGA ANDREW,Independent,Directly Elected MP
MUNICIPALITY,AJA,,
,NINSIIMA RONAH RITA,Independent,District Woman
,,,Representative
BUNYANGABU COUNTY,MWESIGE ADOLF,NRM,Directly Elected MP
BURAHYA COUNTY,,NRM,Directly Elected MP
,,,
FORT PORTAL,,NRM,Directly Elected MP
MUNICIPALITY,,,
,,NRM,District Woman
,,,Representative
KALUNGU EAST,,Independent,Directly Elected MP
COUNTY,,,
KALUNGU WEST,,DP,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
SHEEMA COUNTY,,NRM,Directly Elected MP
NORTH,,,
SHEEMA COUNTY,,NRM,Directly Elected MP
SOUTH,,,
,,Independent,District Woman
,,,Representative
KIBUKU COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
KOLE COUNTY,,"UPC
UPC","Directly Elected MP
District Woman Representative"
KWEEN COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
BUKOTO COUNTY,,NRM,Directly Elected MP
MID-WEST,,,
BUKOTO COUNTY,,NRM,Directly Elected MP
WEST,,,
BUKOTO,,NRM,Directly Elected MP
COUNTYSOUTH,,,
,,NRM,District Woman
,,,Representative
RUHINDA COUNTY,,"NRM
NRM","Directly Elected MP
District Woman Representative"
Constituency,Name,Political Party,Category
