Constituency,Name,Political Party,Votes
KWANIA COUNTY,ETWOP,INDEPENDENT,2997
KWANIA COUNTY,OGWAL,UPC,18100
KWANIA COUNTY,MAKMOT,INDEPENDENT,5129
KWANIA COUNTY,OJOK,INDEPENDENT,171
KWANIA COUNTY,ONGU,INDEPENDENT,2854
KWANIA COUNTY,ADIGA,FDC,1134
KWANIA COUNTY,AYOO,NRM,19258
KWANIA COUNTY,ANOKBONGO,INDEPENDENT,1602
MARUZI COUNTY,OKELLO,INDEPENDENT,2432
MARUZI COUNTY,OCOC,NRM,17467
MARUZI COUNTY,AKORA,UPC,30994
AYIVU COUNTY,ALIONI,INDEPENDENT,1472
AYIVU COUNTY,ABIJAH,FDC,4098
AYIVU COUNTY,DRAVILLE,INDEPENDENT,8639
AYIVU COUNTY,ATIKU,INDEPENDENT,26708
AYIVU COUNTY,LEMATIA,NRM,18514
UPPER MADI COUNTY,OYEMY,INDEPENDENT,300
UPPER MADI COUNTY,ONZIMA,INDEPENDENT,299
UPPER MADI COUNTY,ETUKA,NRM,7236
UPPER MADI COUNTY,MADIRA,INDEPENDENT,1046
UPPER MADI COUNTY,DRITO,INDEPENDENT,2087
UPPER MADI COUNTY,ARUMADRI,FDC,3946
TEREGO WEST COUNTY,ALITIA,DP,662
TEREGO WEST COUNTY,WADRI,FDC,11043
TEREGO WEST COUNTY,ANGUNDRU,NRM,13140
TEREGO WEST COUNTY,EGAMA,RWYP,1593
VURRA COUNTY,ARIDRU,NRM,28056
VURRA COUNTY,ZEDRIGA,DP,7105
ARUA MUNICIPALITY,ASIKI,INDEPENDENT,3577
ARUA MUNICIPALITY,ASEGA,INDEPENDENT,159
ARUA MUNICIPALITY,ABIRIGA,NRM,8473
ARUA MUNICIPALITY,MUSEMA,FDC,7227
ARUA MUNICIPALITY,AVUTIA,INDEPENDENT,449
LOWER MADI COUNTY,OGAMA,NRM,8888
LOWER MADI COUNTY,ANIKU,SDP,143
LOWER MADI COUNTY,ABON,INDEPENDENT,1718
LOWER MADI COUNTY,AFIDRA,INDEPENDENT,7554
LOWER MADI COUNTY,ODOCH,INDEPENDENT,1122
LOWER MADI COUNTY,WADRI,FDC,595
TEREGO EAST COUNTY,APAMA,FDC,11395
TEREGO EAST COUNTY,OBIGA,NRM,18377
TEREGO EAST COUNTY,OJODRIA,INDEPENDENT,559
BUGHENDERA COUNTY,SUNDAY,FDC,469
BUGHENDERA COUNTY,ACROBERT KIIZA,INDEPENDENT,10674
BUGHENDERA COUNTY,MBALIBULHA,NRM,17331
IGARA COUNTY EAST,MARTIAL,NRM,15983
IGARA COUNTY EAST,TURWOMWE,INDEPENDENT,1437
IGARA COUNTY EAST,KARUHANGA,INDEPENDENT,162
IGARA COUNTY EAST,NUWABIINE,FDC,1265
IGARA COUNTY EAST,MAWANDA,INDEPENDENT,15091
IGARA COUNTY EAST,MUNANURA,INDEPENDENT,1684
IGARA COUNTY WEST,MUCUNGUZI,INDEPENDENT,6
IGARA COUNTY WEST,MUHABUZI,INDEPENDENT,18364
IGARA COUNTY WEST,MAGYEZI,NRM,21016
BUSHENYI ?ISHAKA MUNICIPALITY,ARINDA,NRM,6457
BUSHENYI ?ISHAKA MUNICIPALITY,MBAINE,INDEPENDENT,4142
BUSHENYI ?ISHAKA MUNICIPALITY,TUYEBWA,FDC,5334
ASWA COUNTY,ACIRE,INDEPENDENT,5316
ASWA COUNTY,LABANYA,INDEPENDENT,336
ASWA COUNTY,OKELLO,NRM,6809
ASWA COUNTY,OKUMU,INDEPENDENT,16859
ASWA COUNTY,KITARA,DP,852
OMORO COUNTY,OWANI,INDEPENDENT,3080
OMORO COUNTY,OULANYAH,NRM,8218
OMORO COUNTY,OKELLO,INDEPENDENT,548
OMORO COUNTY,TOOLIT,FDC,6823
OMORO COUNTY,LAMONY,INDEPENDENT,332
GULU MUNICIPALITY,UHURU,INDEPENDENT,196
GULU MUNICIPALITY,KOMAKECH,INDEPENDENT,3500
GULU MUNICIPALITY,ODOCH,INDEPENDENT,452
GULU MUNICIPALITY,KOMAKECH,DP,11510
GULU MUNICIPALITY,ALIGECH,INDEPENDENT,2217
GULU MUNICIPALITY,RAY,INDEPENDENT,892
GULU MUNICIPALITY,JOKKENE,NRM,7281
GULU MUNICIPALITY,HIRAM,FDC,3839
TOCHI COUNTY,OBUTU,NRM,4703
TOCHI COUNTY,NYERO,INDEPENDENT,384
TOCHI COUNTY,OKOT,DP,10988
TOCHI COUNTY,OCORA,FDC,2441
BUHAGUZI COUNTY,MUGABO,INDEPENDENT,352
BUHAGUZI COUNTY,MUHEIRWE,NRM,25717
BUHAGUZI COUNTY,BAMWENDA,INDEPENDENT,16759
BUHAGUZI COUNTY,BIGIRWA,INDEPENDENT,13069
BUHAGUZI COUNTY,BANURA,INDEPENDENT,8620
HOIMA MUNICIPALITY,BEERAHERU,INDEPENDENT,2486
HOIMA MUNICIPALITY,BATEGEKA,NRM,24472
HOIMA MUNICIPALITY,BAGUMA,FDC,6500
HOIMA MUNICIPALITY,TUMUSIIME,INDEPENDENT,885
KIGOROBYA COUNTY,KARUBANGA,NRM,11906
KIGOROBYA COUNTY,MUNYOMO,FDC,2269
KIGOROBYA COUNTY,MUTAGWA,INDEPENDENT,2811
BUGWERI COUNTY,KATUNTU,FDC,23596
BUGWERI COUNTY,IBAALE,NRM,23195
BUGWERI COUNTY,MUKISA,INDEPENDENT,430
BUGWERI COUNTY,MUSEMBYA,INDEPENDENT,76
BUGWERI COUNTY,MENYA,INDEPENDENT,53
KIGULU COUNTY NORTH,MUKAKANYA,INDEPENDENT,39
KIGULU COUNTY NORTH,GABULA,INDEPENDENT,807
KIGULU COUNTY NORTH,BWINO,NRM,17800
KIGULU COUNTY NORTH,BADOGI,FDC,15651
KIGULU COUNTY NORTH,NASSANGA,INDEPENDENT,691
KIGULU COUNTY NORTH,BUFUMBO,INDEPENDENT,635
KIGULU COUNTY NORTH,KIRIMWIKA,INDEPENDENT,401
KIGULU COUNTY NORTH,OBBO,INDEPENDENT,304
KIGULU COUNTY SOUTH,KALUYA,INDEPENDENT,19185
KIGULU COUNTY SOUTH,KYAFU,NRM,15492
KIGULU COUNTY SOUTH,NAKKU,DP,88
KIGULU COUNTY SOUTH,BULAGALA,FDC,892
KIGULU COUNTY SOUTH,WAAKO,INDEPENDENT,319
IGANGA MUNICIPALITY,MUDIOBOLE,FDC,10108
IGANGA MUNICIPALITY,MUGEMA,NRM,11399
BUTEMBE COUNTY,KAGOYA,INDEPENDENT,1304
BUTEMBE COUNTY,MUWANIKA KENNETH,INDEPENDENT,630
BUTEMBE COUNTY,LUFAFA,NRM,26157
BUTEMBE COUNTY,KIIRYA GRACE,FDC,23202
KAGOMA COUNTY,KINTU  ALEX,INDEPENDENT,14254
KAGOMA COUNTY,MUWANGALA MILTON,INDEPENDENT,108
KAGOMA COUNTY,MBAGADHI,INDEPENDENT,4725
KAGOMA COUNTY,BATUWA TIMOTHY,FDC,12877
KAGOMA COUNTY,MUBEEZI,UPM,470
KAGOMA COUNTY,BIDONDOLE .B,INDEPENDENT,3692
KAGOMA COUNTY,WALYOMU MUWANIKA,NRM,16391
KAGOMA COUNTY,MUKUYE MOSES,INDEPENDENT,223
JINJA MUNICIPALITY EAST,IGEMA,NRM,7770
JINJA MUNICIPALITY EAST,MWIRU,FDC,7635
JINJA MUNICIPALITY WEST,LUKALU,INDEPENDENT,320
JINJA MUNICIPALITY WEST,ISIKO,INDEPENDENT,523
JINJA MUNICIPALITY WEST,BALYEKU MOSES,NRM,6770
JINJA MUNICIPALITY WEST,KEZAALA,INDEPENDENT,431
JINJA MUNICIPALITY WEST,KAWANGUZI,FDC,4028
NDORWA COUNTY EAST,MANZI,INDEPENDENT,34
NDORWA COUNTY EAST,AGAABA,INDEPENDENT,95
NDORWA COUNTY EAST,BYAMUKAMA,INDEPENDENT,709
NDORWA COUNTY EAST,ANKUNDA,NRM,14160
NDORWA COUNTY EAST,NIWAGABA,INDEPENDENT,20347
NDORWA COUNTY WEST,BAHATI,NRM,23838
NDORWA COUNTY WEST,TURYATEMBA,FDC,1239
NDORWA COUNTY WEST,TURINAWE,INDEPENDENT,3903
NDORWA COUNTY WEST,AGABA,INDEPENDENT,7878
RUBANDA COUNTY EAST,BAKEINE,INDEPENDENT,2411
RUBANDA COUNTY EAST,ATWEETA,DP,145
RUBANDA COUNTY EAST,AHABWE,INDEPENDENT,4075
RUBANDA COUNTY EAST,MUSASIZI,NRM,18765
RUBANDA COUNTY EAST,KAMUGISHA,FDC,990
RUBANDA COUNTY EAST,AYEBARE,JEEMA,425
RUBANDA COUNTY EAST,KABYESIZA,INDEPENDENT,555
RUBANDA COUNTY EAST,TUMWIJUKYE,INDEPENDENT,3896
RUBANDA COUNTY WEST,SABIITI,NRM,24106
RUBANDA COUNTY WEST,BANYENZAKI,INDEPENDENT,18775
RUBANDA COUNTY WEST,MUHUMUZA,DP,134
RUBANDA COUNTY WEST,RUHANGARIYO,FDC,382
RUBANDA COUNTY WEST,TWESIGYE,INDEPENDENT,174
RUKIGA COUNTY,KAMPIKAHO,INDEPENDENT,4122
RUKIGA COUNTY,SABIITI,FDC,14986
RUKIGA COUNTY,KABAFUNZAKI,NRM,21510
RUKIGA COUNTY,NDYAMWEHA,INDEPENDENT,250
RUKIGA COUNTY,SABIITI,INDEPENDENT,287
KABALE MUNICIPALITY,BARYAYANGA,INDEPENDENT,6464
KABALE MUNICIPALITY,NUWAGABA,INDEPENDENT,1502
KABALE MUNICIPALITY,ORISHABA,INDEPENDENT,468
KABALE MUNICIPALITY,NZAANA,INDEPENDENT,80
KABALE MUNICIPALITY,KATUREEBE,INDEPENDENT,1056
KABALE MUNICIPALITY,MAGABO,FDC,623
KABALE MUNICIPALITY,RUNUMI,NRM,4364
KABALE MUNICIPALITY,KAMARA,INDEPENDENT,3020
BUJUMBA COUNTY,BADDA,NRM,4354
BUJUMBA COUNTY,KAKOOZA,DP,109
BUJUMBA COUNTY,MUKASA,INDEPENDENT,5358
BUJUMBA COUNTY,NANKINGA,INDEPENDENT,526
KYAMUSWA COUNTY,BIRUNGI,NRM,4647
KYAMUSWA COUNTY,BUKENYA,DP,602
KYAMUSWA COUNTY,KABUUSU,INDEPENDENT,4065
KAMPALA CENTRAL DIVISION,KAIJA,FDC,5134
KAMPALA CENTRAL DIVISION,SEMUGOMA,DP,785
KAMPALA CENTRAL DIVISION,KABANDA,NRM,12380
KAMPALA CENTRAL DIVISION,KAYONDO,INDEPENDENT,620
KAMPALA CENTRAL DIVISION,NSEREKO,INDEPENDENT,25746
KAWEMPE DIVISION NORTH,SEBAGGALA,INDEPENDENT,22325
KAWEMPE DIVISION NORTH,SEMMINDI,FDC,14844
KAWEMPE DIVISION NORTH,KYAMBADDE,NRM,13689
KAWEMPE DIVISION NORTH,NANYUNJA,INDEPENDENT,2832
KAWEMPE DIVISION NORTH,SENDAWULA,INDEPENDENT,1383
KAWEMPE DIVISION NORTH,SERWADDA,DP,10806
KAWEMPE DIVISION SOUTH,MPINDI,INDEPENDENT,4605
