District,Constituency,Name,Political Party,Votes
ABIM,LABWOR COUNTY,OCHERO  JIMBRICKY NOMAN,NRM,14738
,LABWOR COUNTY,AYEPA  MICHAEL,INDEPENDENT,8466
,LABWOR COUNTY,OKELLO  PETER CROMWELL,INDEPENDENT,791
ADJUMANI,ADJUMANI EAST COUNTY,MAMAWI  JAMES,NRM,12014
,ADJUMANI EAST COUNTY,ANGEL  DULU MARK,INDEPENDENT,10728
,ADJUMANI EAST COUNTY,LANGI  PETER,INDEPENDENT,1722
,ADJUMANI EAST COUNTY,ANYAMA  DANIEL,INDEPENDENT,933
,ADJUMANI EAST COUNTY,ADRAWA  LAWRENCE DULU,FDC,390
ADJUMANI,ADJUMANI WEST COUNTY,ALI  MOSES,NRM,10227
,ADJUMANI WEST COUNTY,TANDRUPASI  PATRICK,FDC,6891
,ADJUMANI WEST COUNTY,ADRAWA  SANTOS GABRIEL,INDEPENDENT,1836
,ADJUMANI WEST COUNTY,ASUSI  DOMINIC ANDAMA,INDEPENDENT,1145
,ADJUMANI WEST COUNTY,IRAMA  TOLU PHILIP,INDEPENDENT,934
,ADJUMANI WEST COUNTY,AJIRIKA  DRASIKU HENRY,INDEPENDENT,603
,ADJUMANI WEST COUNTY,DRAGA  GASPER,INDEPENDENT,202
,,,,
AGAGO,AGAGO  WEST COUNTY,ANYWAR  RICKY RICHARD,NRM,9892
,AGAGO  WEST COUNTY,ODIDA  PATRICK,INDEPENDENT,4954
,AGAGO  WEST COUNTY,OYAKA  DICKENS,INDEPENDENT,745
,AGAGO  WEST COUNTY,OCHAN  BENSON,NUP,72
AGAGO,AGAGO COUNTY,LAGEN  DAVID,NRM,9396
,AGAGO COUNTY,OTTO  EDWARD MAKMOT,INDEPENDENT,8789
,AGAGO COUNTY,KOMAKECH  CHARLES TOO- ODERA,INDEPENDENT,2846
,AGAGO COUNTY,OKWIR  BELLY SAM OJARA,INDEPENDENT,2692
AGAGO,AGAGO NORTH COUNTY,OKOT  JOHN AMOS,NRM,7943
,AGAGO NORTH COUNTY,OKETTA  WALTER OGWANG,INDEPENDENT,6551
,AGAGO NORTH COUNTY,OJERA  JACKSON ABUSU,INDEPENDENT,4922
,AGAGO NORTH COUNTY,OGENGA LATIGO  MORRIS WODAMIDA,INDEPENDENT,4286
,AGAGO NORTH COUNTY,OPOKA  KENNETH GEOFFREY,FDC,1782
,AGAGO NORTH COUNTY,OPIO  KENNETH OYO,INDEPENDENT,650
ALEBTONG,AJURI COUNTY,OBUA  DENIS HAMSON,NRM,11796
,AJURI COUNTY,ONGOM  EMMANUEL OKWEL,FDC,10612
,AJURI COUNTY,OKWIR  ISAAC,INDEPENDENT,5859
ALEBTONG,AJURI COUNTY,ONYOK  HOWARD,UPC,3933
,AJURI COUNTY,APENYO  ISAAC,INDEPENDENT,2222
ALEBTONG,MOROTO COUNTY,OKWIR  SAMUEL,NRM,17703
,MOROTO COUNTY,OLANG  PATRICK,INDEPENDENT,9874
,MOROTO COUNTY,OBOTE  KENNEDY OJUKA,UPC,2644
,MOROTO COUNTY,OPIO  DENIS,INDEPENDENT,1801
,MOROTO COUNTY,OKOT  FREDRICK NAURIES,FDC,343
,MOROTO COUNTY,OJEDE  ZIEGLER BOBSON,INDEPENDENT,225
AMOLATAR,KIOGA COUNTY,OKOT  MOSES JUNIOR,FDC,8537
,KIOGA COUNTY,OKELLO  ANTHONY,NRM,6927
,KIOGA COUNTY,ADUPA  ONGWECH FELIX,INDEPENDENT,5691
,KIOGA COUNTY,OTAKA  GEORGE,INDEPENDENT,1259
